"origin","nb_outlinks","outlinks","weights","nb_airlines"
"SXB","48","ACE AGA AGP AJA ALG ATH BCN BES BIA BOD CFU CLY CMN CPH DJE EDI FAO FCO FEZ FLR FRA FSC HER IST LGW LPA LYS MAD MAN MPL MRS MUC MXP NAP NCE NDR NTE OLB OPO OUD PMI PMO RAK RDZ STN TLS TUN WAW","1 1 1 1 1 1 4 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 2 1 2 1 1 1 1 1 2 1 1 1 1 1 2 1 2 1 1 1 2 1","15"
"SXI","5","AWZ BND IFN SYZ THR","1 2 1 1 1","2"
"SXK","2","AMQ JIO","1 1","2"
"SXM","44","AMS ANU ATL AUA AXA BGI BON BOS BWI CAP CDG CLT CUR DOM EIS EUX EWR FDF FLL IAD JBQ JFK KIN MCO MIA MNI MSP NEV ORD ORY PHL POS PTP PTY SAB SBH SDQ SJU SKB SLU STI SVD YUL YYZ","1 2 2 1 1 3 1 1 1 1 1 1 2 1 1 1 2 1 1 1 1 3 1 1 1 1 2 1 2 1 1 3 1 1 1 2 1 1 2 1 1 1 3 3","25"
"SXP","2","BET EMK","1 1","1"
"SXR","10","AMD ATQ BLR BOM CCU DEL HYD IXC IXJ IXL","1 1 2 3 1 5 1 1 4 1","5"
"SXV","4","BLR COK HYD MAA","2 1 1 1","2"
"SXZ","2","ESB IST","1 1","2"
"SYD","105","ABX ADL AKL APW ARM ASP AUH AVV AYQ BHQ BKK BLR BNE BNK BQB BXG CAN CBR CDG CFS CGK CGO CHC CKG CMB CNS CTS DBO DEL DFW DOH DPS DRW DXB FCO GFF HAK HAN HBA HGH HKG HKT HLZ HND HNL HTI HVB IAH ICN IST JFK JNB KIX KUL LAS LAX LDH LHR LST MCY MEL MIM MNL MQL MRZ NAN NKG NLK NOU NTL OAG OOL OOM PEK PER PKX POM PPP PPT PQQ PVG RAR SCL SFO SGN SIN SZX TAO TBU TFU TMW TNA TPE TSN TSV VLI WGA WLG WTB WUH XIY XMN YVR YYZ ZQN","1 3 4 1 1 1 1 1 2 1 2 1 3 3 1 1 1 2 1 1 2 1 3 1 1 3 1 1 1 1 2 5 3 1 1 1 1 1 4 1 3 1 1 3 2 2 1 1 4 1 1 1 1 4 1 4 1 2 3 3 3 1 3 1 1 4 1 1 2 1 1 3 1 1 3 2 2 1 1 1 2 1 2 2 3 4 1 1 1 1 1 1 1 1 2 1 1 2 1 1 1 1 2 1 4","52"
"SYM","5","CKG CSX TFU XIY ZAT","1 1 1 1 1","2"
"SYO","1","HND","1","1"
"SYP","0","","","10"
"SYQ","0","","","3"
