"origin","nb_outlinks","outlinks"
"MIA","173","AMS ANU ARN ATL AUA AUS AVL AXA BAQ BCN BDA BDL BEL BGI BHM BIM BNA BOG BOS BQN BSB BWI BZE CAP CCS CDG CHA CHS CID CLE CLO CLT CMH CMN CMW COR CPH CTG CUN CUR CVG CYB CZM DAL DCA DEN DFW DOH DOM DSM DTW DUB DXB EWR EZE FCO FDF FOR FPO FRA GCM GDL GEO GGT GHB GIG GND GRR GRU GSP GUA GYE HAV HEL HOG HOU HPN HSV IAD IAH ICT ILM IND IST JAX JFK KEF KIN LAS LAX LGA LHR LIM LIR LIS LRM MAD MBJ MCI MCO MDE MDT MDW MEM MEX MGA MID MKE MSN MSP MSY MTY MVD MXP NAS OKC OMA ORD ORF ORY PAP PBM PDX PHL PHX PIT PLS PNS POP POS PTP PTY PUJ RDU RIC SAL SAP SAT SAV SCL SCU SDF SDQ SEA SFO SJO SJU SLC SNU SRQ STI STL STX SYR TLH TLV TPA TQO TUL TYS UIO UVF VPS VRA VVI WAW XSC YOW YUL YVR YYZ ZRH ZSA"
"MID","17","BJX CUN DFW FRS GDL GUA HAV IAH MEX MIA NLU TGZ TIJ TLC VER VSA YYZ"
"MIG","31","CAN CKG CSX CZX FOC HAK HFE HGH JHG JJN KMG LHW LXA LZY NGB NKG PEK PKX PVG SHE SJW SYX SZX TNA TSN URC WNZ WUH XIC XMN YTY"
"MII","1","VCP"
"MIJ","1","MAJ"
"MIM","3","MEL MYA SYD"
"MIR","21","BER BRE BRN BRU CDG DUS FRA HAJ HAM LIL LUX LYS MRS MUC NCE NTE OPO ORY STR SZG VIE"
"MIS","1","GUR"
"MJB","2","AIM MAJ"
"MJC","2","ABJ KEO"
"MJE","3","JEJ KWA MAJ"
"MJF","3","BOO MQN TRD"
"MJI","23","AMM ATH BEN CAI CMN DAM DXB FCO GHT HBE IST JED LAQ LTD MED MLA MXP NIM QUB SEB SFA TOB TUN"
"MJK","2","CVQ PER"
"MJL","1","LBV"
"MJM","5","ADD FBM FIH KGA KWZ"
"MJN","2","DZA TNR"
"MJT","18","AMS ATH BHX BRU CPH HER JKH KTW LGW LXS MAN PRG RHO SKG SMI STN TLV VIE"
"MJU","2","BPN UPG"
"MJZ","9","DME IKT KHV KJA KRR OVB PYJ SVX YKS"
"MKE","29","ATL AUS BOS BWI CLT CUN DAL DCA DEN DFW DTW EWR FLL IAH JFK LGA MCO MDW MIA MSP ORD PHL PHX PUJ SEA SLC SRQ STL TPA"
"MKG","1","ORD"
"MKK","4","HNL LNY LUP OGG"
"MKL","2","ATL ORD"
"MKM","5","BTU KCH MYY SBW TGC"
"MKQ","5","BXD DJJ EWE TMH UPG"
"MKR","2","MMG PER"
"MKU","1","LBV"
"MKW","8","AGD BXB DJJ FOO KNG NBX SOQ UPG"
"MKY","4","BNE CNS ROK TSV"
"MKZ","1","SIN"
"MLA","93","AGP AMS ARN ATH BCN BEG BEN BER BFS BGY BHX BLL BLQ BOD BOH BRI BRS BRU BSL BUD BVA CAG CDG CGN CHQ CLJ CPH CTA DOH DUB DUS DXB EDI EIN EMA FCO FMM FRA GLA GOT GVA HEL INI IST JFK KTW LCA LGW LIN LPL LUX MAD MAN MJI MRA MUC MXP NAP NCE NCL NTE NWI OPO ORY OSL OTP PEG PFO PMI PSR RIX RZE SEN SKG SKP SNN STN STR SUF SVQ TIA TLL TLS TLV TPS TRS TUN VIE VLC WAW WMI ZAG ZRH"
"MLB","10","ABE ATL BFS CLT CVG GLA LGW MAN NCL PIT"
"MLE","63","ALA AUH BAH BKK BLR BOM CDG CKG CMB COK DAC DDD DEL DMK DOH DRV DWC DXB FCO FRA FVM GAN GKK GYD HAQ HDK HKG HRF HYD IFU IST JED KDM KDO KMG KTW KUL LHR LMV MEL MUM MXP NQZ PEK PKX PRG PVG RSI RUH RUL SHJ SIN SVO TAS TFU TRV VAM VIE VRN WAW XIY XMN ZRH"
"MLG","2","CGK HLP"
"MLI","10","ATL AZA CLT DFW LAS ORD PGD PIE SFB SRQ"
"MLL","2","BET KSM"
"MLM","16","CUN DFW IAH MDW MEX MTY NLU OAK ONT ORD PVR SAT SJC SMF TIJ UPN"
"MLN","7","AGP BCN GRX LEI MAD PMI TFN"
"MLO","2","ATH SKG"
"MLU","2","ATL DFW"
"MLX","7","ADB AYT DUS ESB FRA IST SAW"
"MLY","2","FAI MNT"
"MMB","4","CTS HND KIX OKD"
"MMCD","2","ESE GUB"
"MMD","1","OKA"
"MME","8","AGP ALC AMS CFU FAO GCI PMI PRO"
"MMG","3","MKR PER WUN"
"MMH","2","CLD HHR"
"MMJ","4","CTS FUK ITM UKB"
"MMK","10","AER ARH CEE KGD KZN LED LYR MSQ PES SVO"
"MMO","1","RAI"
"MMP","2","CTG EOH"
"MMX","15","ARN AYT BEG CLJ IAS OTP PRN SKP STN TFS TGD TIA TZL WMI ZAG"
"MMY","8","FUK HND ISG KIX NGO OKA PUS TRA"
"MNA","3","IAX MDC NAH"
"MNB","1","FIH"
"MNC","2","JNB MPM"
"MNF","1","NAN"
"MNG","3","DRW ELC MGT"
"MNI","2","ANU SXM"
"MNL","74","ADD AMS AUH BAH BCD BKI BKK BNE BWN BXU CAN CDG CEB CGY CKG CYZ DAD DEL DGT DMK DMM DOH DPL DVO DXB FUK GES GUM HAN HKG HND HNL ICN ILO IST JED JJN KHH KIX KLO KTI KUL KWI LAX MCT MED MFM NGO NRT PEK PER POM PPS PUS PVG ROR RUH RXS SFO SGN SIN SPN SYD SZX TAC TAG TFU TPE TUG UBN VRC XMN YVR ZAM"
"MNS","2","LUN NLA"
"MNT","2","FAI MLY"
"MNX","1","MAO"
"MNY","1","MUA"
"MOB","5","ATL CLT DFW IAD IAH"
"MOC","3","CGH CNF GRU"
"MOF","3","KOE LBJ UPG"
"MOG","1","HEH"
"MOH","3","APD PLW UPG"
"MOI","2","MUK RAR"
"MOK","1","NCU"
"MOL","4","BGO LPA OSL RHO"
"MOO","3","ADL BBL BNE"
"MOT","4","AZA DEN LAS MSP"
"MOU","2","BET KSM"
"MOV","2","BNE CNS"
"MOZ","4","BOB HUH PPT RFP"
"MPA","2","MUB WDH"
"MPC","2","BKS PDG"
"MPH","5","CEB CRK DVO ENI MNL"
"MPL","44","ACE AGA AGP AJA ALG AMS ARN ATH BES BIA BOD BSL CDG CFR CMN CPH DJE DUB FCO FEZ FRA HER IST LGW LIL LIS LUX MAD MAH MAN NTE ORN ORY OSL PMI RAK RBA RNS SVQ SXB TFS TNG TUN ZRH"
"MPM","20","ADD APL BEW CPT DAR DOH INH IST JNB LIS MNC NBJ NBO POL TET UEL VJB VNX VPY VXC"
"MPN","4","PSY PUQ RGL SCL"
"MPY","4","CAY GSI LDX XAU"
"MQF","5","AER KZN LED MRV SVO"
"MQJ","1","YKS"
"MQL","2","MEL SYD"
"MQM","4","ADB ESB IST SAW"
"MQN","4","BOO MJF OSY TRD"
"MQP","8","BBK CPT DUR JNB LVI SZK VFA VNX"
"MQS","4","BQU CIW SVD UNI"
"MQT","3","DTW MSP ORD"
"MQX","1","ADD"
"MRA","9","AMM BEN CAI HBE IST JED MLA SFA TUN"
"MRD","1","CCS"
"MRE","7","EBB HKMM HKNV MBA NYK UAS WIL"
"MRI","5","MCG NCN NIB TCT TEK"
"MRS","83","AAE ADD AGA AJA ALC ALG AMM AMS ATH AYT BCN BES BEY BIA BIQ BJA BLJ BOD BRI BRS BRU CAI CDG CFK CFR CHQ CLY CMN CPH CZL DBV DJE DSS DUS DZA EDI EVN FCO FEZ FNC FRA FSC GJL HER HRG IBZ ICN IST JED JTR LHR LIL LIS LYS MAD MAH MED MIR MRU MUC ORN ORY PMI PRG PVG RAK RBA RUN SAW SID SPU SVQ TLM TLV TNG TUF TUN VCE VIE YQB YUL ZAD ZRH"
"MRU","37","BLR BOM BRQ BTS CDG CPT DEL DXB FCO FRA GVA IST JED JNB KUL LGW LYS MAA MAD MRS MXP NBO ORY OSL OSR PER RRG RUH RUN SEZ SOF SVO TNR VIE WAW ZRH ZSE"
"MRV","61","AER ALA ASF AYT BHK BJV BUS CEE CEK CSY DME DXB DYU EVN GOJ GSV HKT HRG IAR IJK IST JED KEJ KGD KJA KLF KVX KZN LBD LED MCX MQF MSQ NBC NJC NOJ NQZ NSK NUX OMS OSS OVB PEE PES PEZ PKV REN SGC SKX SLY SSH SVO SVX TAS TBS TJM TLV UFA UUD VKO YKS"
"MRX","4","IFN MHD SYZ THR"
"MRY","12","BUR CLD DEN DFW LAS LAX ORD PHX SAN SEA SFO SNA"
"MSA","3","XBE YQT YXL"
"MSH","2","DQM MCT"
"MSJ","3","HND ITM OKD"
"MSL","2","CLT PNS"
"MSN","19","ATL BOS CLT DCA DEN DFW DTW EWR LAX LGA MCO MIA MSP ORD PHL PHX RDU RSW TPA"
"MSO","14","AZA DEN DFW LAS LAX MSP OAK ORD PDX SAN SEA SFO SLC SNA"
"MSP","136","ABQ ABR AMS ANC ATL ATW ATY AUA AUS AVL BDL BIL BIS BNA BOI BOS BRD BTV BUF BWI BZE BZN CDG CHS CID CIU CLE CLT CMH CPH CUN CVG CZM DAL DEN DFW DLH DTW DUB ESC EWR FAR FCA FCO FRA FSD FWA GCM GEG GFK GPT GRR HDN HIB HND HOU HPN HRL IAH ICN ICT ILM IND IWD JAC JAX JFK KEF LAS LGA LHR LIR MBJ MCI MCO MDW MEM MIA MKE MQT MSN MSO MSY MYR MZT OKC OMA ORD ORF PBI PDX PGD PHL PHX PIE PIT PSC PSP PVR PWM RAP RDU RIC RNO RSW SAN SAT SBN SDF SEA SFO SJC SJD SJU SLC SMF SNA SRQ STL STT TPA TUL TUS TVC TVF VPS XWA YEG YQR YUL YVR YWG YXE YYC YYZ ZIH"
"MSQ","45","AER ALA ARH BJV BUS CEE CEK DBB DEL DME DXB EVN GYD HKT HRG HRI IST KGD KLF KRW KUT KZN LED MCX MMK MRV NBE NQZ PEE PEK PES PQC SSH SVO SVX SYX TAS TBS TLV UFA ULV URC UTP VKO XIY"
"MSR","4","ESB IST SAW YEI"
"MSS","1","BOS"
"MST","14","AGP ALC HRG KTW LPA LUZ NDR OUD SID SVQ TFS TGD TZL VLC"
"MSY","41","ATL AUS BNA BOS BWI CHS CLT CUN CVG DCA DEN DFW DTW EWR IAD IAH JAX JFK LAS LAX LGA LHR MCO MDW MIA MSP ORD ORF PDX PGD PIT RDU RIC RSW SAV SEA SFO SLC TPA XNA YYZ"
"MSZ","2","LAD VPE"
"MTE","5","JRT OBI ORX STM TMT"
"MTJ","9","ATL BNA DEN DFW EWR IAH ORD SFO SNA"
"MTK","1","TRW"
"MTR","4","BAQ BOG EOH MDE"
"MTT","4","CME MEX VER VSA"
"MTV","1","SON"
"MTY","51","ACA AGU ATL AUS BJX BOG BRO CDG CJS CUN CUU DEN DFW DGO DTW GDL HAV HMO IAH ICN JFK LAS LRD MAD MCO MEX MFE MIA NLU OAK ORD PBC PDS PHX PTY PVR PXM SFO SJD SJO SLC SLP SLW TAM TIJ TLC TQO TRC VSA YVR YYZ"
"MUA","7","BAS BNE EGM HIR MNY RBV VAO"
"MUB","9","ADD BBK CPT GBE JNB MPA NLA VFA WDH"
"MUC","190","ACE ADB AGP AJA AJR ALC AMM AMS ARN ASR ATH ATL AUH AYT BAH BCN BDS BEG BER BGO BIO BJV BKK BLQ BLR BOM BOS BRI BRS BRU BSL BUD BVC CAI CDG CFU CGN CHQ CIT CLJ CLT CLY CMN COV CPH CPT DBV DEB DEL DEN DJE DLM DOH DRS DTW DUB DUS DWC DXB DYU EBL EDI EDO EFL ESB EVE EWR FAO FCO FEZ FLR FNC FRA FUE GDN GOA GOT GPA GRU GRZ GVA HAJ HAM HAN HEL HER HKG HND HRG IAD IAH IBZ ICN IST JED JFK JNB JSI KEF KGS KIX KLX KRK KTT KVA KWI LBC LCA LGW LHR LIN LIS LJU LPA LUX LYS MAD MAH MAN MCT MEX MIA MIR MLA MLE MRS MXP NCE NTE OLB OMR OPO ORD ORK OSI OSL OTP PAD PEK PEV PMI PRG PRN PRO PUJ PVG PVK RHO RIX RJK RMF RMO RUH RVN SAN SAW SBZ SEN SFO SGN SHJ SIN SKP SNN SOF SPC SPU STR SUF SXB TAS TBS TFS TLL TLV TOS TPE TRD TUN VCE VIE VLC WAW XRY YUL YVR YYZ ZAG ZRH ZTH"
"MUH","9","BEG BRQ BTS FCO KTW MXP OSR PRG VRN"
"MUK","2","MOI RAR"
"MUM","2","GAN MLE"
"MUN","6","CCS MAR PMV STD SVZ TUV"
"MUR","6","BBN LBP LGL LKH MYY ODN"
"MUU","1","SSA"
"MUX","11","AUH DMM DOH DXB ELQ JED KHI MCT MED RUH SHJ"
"MUZ","2","DAR MWZ"
"MVB","1","LBV"
"MVD","18","AEP ASU BOG CNF FLN FOR GIG GRU LIM MAD MIA NAT PTY REC RVY SCL SSA STY"
"MVP","2","BOG VVC"
"MVQ","3","AYT SSH VKO"
"MVR","2","DLA NSI"
"MVT","2","PPT RGI"
"MVY","14","ACK BOS CLT DCA DXR EWB HPN HYA JFK LGA ORD OWD PHL TEB"
"MWA","1","ORD"
"MWF","1","SON"
"MWK","1","HLP"
"MWX","10","BKI CJU CXR DAD HAN KIX LPQ NGS SAI TPE"
"MWZ","12","ARK BKZ DAR JRO KGL LKY MUZ NBO NPY SEU TKQ ZNZ"
"MXH","3","CNS HGU POM"
"MXL","11","BJX CUL CUN GDL HMO LMM MEX MLM MTY PVR SJD"
"MXP","145","ACE ADB ADD AGP AHO ALA ALC ALG AMM AMS ARN ASB ATH ATL AUH AYT BAH BCN BDS BEG BER BIO BIQ BKK BOD BOS BRI BRU BUD BVC CAI CDG CFU CGN CHQ CKG CLJ CLY CMN CPH CTA DBB DJE DUB DUS DXB EVE EVN EWR FNC FRA FSC FUE GDN GHV GLA GUW GVA GYD HAJ HAM HAN HER HKG HND HRG ICN IST JED JFK JMK JSI JTR KEF KGS KRK KUT KWE LCA LCG LHR LPA LTN LUX LXR MAD MAN MCT MIA MIR MJI MLE MUC MUH NTE OHD OLB OPO ORY OSL OTP PDV PHL PKX PMI PMO PTP PVG QSR RAK RHO RIX RMF RMO RSI RUH SID SIN SKG SOF SPU SPX SSH STR SUF SVG SVQ TAS TFS TFU TGD TLS TLV TOS TPE TPS VLC WAW WNZ XIY YUL YYZ ZAD ZRH ZTH"
"MXQ","1","SSA"
"MXS","0",""
"MXV","2","CJJ UBN"
"MXY","2","CXC GKN"
"MXZ","6","CAN HAK KWE PKX WNZ ZHA"
"MYA","2","MIM SYD"
"MYD","4","LAU MBA NBO WIL"
"MYEB","1","NAS"
"MYG","2","IGA NAS"
"MYI","3","HID NLF OKR"
"MYJ","10","FUK HND ICN ITM KOJ NGO NRT OKA PUS TPE"
"MYK","1","GKN"
"MYP","3","ASB BKN TAZ"
"MYR","53","ACY ATL AVP BDL BKW BLV BNA BOS BWI CAK CLE CLT CMH CRW CVG DAL DCA DEN DFW DTW ELM EWR FLL FWA GRR HGR HPN HTS HVN IAD IAG ILG IND ISP LBE LEX LGA MCI MCO MDT MDW MHT MSP MSY ORD PBG PIT PVD ROC RST SDF STL SYR"
"MYT","3","MDL PBU RGN"
"MYU","2","BET KSM"
"MYW","1","DAR"
"MYY","19","BBN BKI BKM BTU JHB KCH KUL LBP LBU LGL LKH LMN LWY MKM MUR MZV ODN SBW SIN"
"MZA","1","LIM"
"MZG","7","CMJ CYI KHH KNH RMQ TNN TSA"
"MZH","2","IST SAW"
"MZI","2","BKO TOM"
"MZK","2","ABF TRW"
"MZL","3","BOG CTG EOH"
"MZR","5","IKA IST JED KBL MHD"
"MZT","23","AGU CJS CUU DFW GDL HMO IAH LAP LAX MEX MSP MTY NLU PHX QRO TIJ YEG YLW YUL YVR YWG YYC YYZ"
"MZV","3","BKI KCH MYY"
"MZW","3","ALG EBH TIN"
"NAA","3","BNE NTL SYD"
"NAG","14","AMD BLR BOM CCU DEL DOH GOX HYD IDR KQH NDC NMI PNQ SHJ"
"NAH","4","BRG IAX MDC MNA"
"NAJ","5","GNJ GYD IST SAW VKO"
"NAL","6","AER KWI KZN LED SVO VKO"
"NAM","1","AMQ"
"NAN","38","ADL AKL APW BNE CBR CHC CNS CXI DFW FUN HIR HKG HNL INU KDV LAX LBS MEL MNF NOU NRT OOL POM PTF RTA SFO SIN SUV SVU SYD TBU TRW TVU VAV VLI WLG WLS YVR"
"NAO","17","CAN CSX FOC HAK HFE HGH HUZ KMG LXA PKX PVG SZX TAO TSN WNZ WUH XMN"
"NAP","95","AHO ALC AMS ARN ATH ATL BBU BCN BEG BER BHX BIO BLL BOD BRU BTS BUD CDG CGN CHQ CLJ CMN CPH CRA CTA DUB DUS DXB EDI EMA EWR FCO FRA GHV GLA GOA GVA HAM HEL HER HRG IST JFK JMK JSI JTR KGS KTW LBA LGW LHR LIN LPA LPL LUX LYS MAD MAN MLA MUC MXP NCE OLB OMO ORD ORY OSL PHL PMI PMO PRG PVK RAK RHO RIX RMF RMO SKP SOF SPU SSH STN STR SZG TIA TLV TRN TUN VCE VIE WAW WRO YUL ZRH ZTH"
"NAQ","5","BGMO JAV JUV SRK THU"
"NAS","51","ASD ATL BIM BOS BWI CAP CLT CRI DCT DEN DFW DTW ELH EWR FLL FPO GCM GGT GHB GHC IAD IAH IGA JFK KIN LGI LHR MAY MBJ MCO MHH MIA MSP MYEB ORD PHL PLS PTY RCY RSD SAQ SML TBI TPA TYM TZN YOW YUL YYC YYZ ZSA"
"NAT","20","AEP BSB CAC CGH CNF CPV CWB EZE FOR GIG GRU JTC LIS PPB RAO REC SJP SSA UDI VCP"
"NAV","2","IST SAW"
"NAW","2","BKK DMK"
"NBC","9","AER LED MCX MRV NJC NUX RMZ SVO TAS"
"NBE","39","AMS BBU BFS BHX BRQ BRS BRU BSL CWL DUB EDI EMA GDN GLA GVA KTW LCJ LGW LIS LPL LTN LUX MAN MSQ MXP NCL OSR PDV POZ PRG RIX SEN SKP SOF STN VAR VRN WAW WRO"
"NBJ","22","ABJ ADD BZV CAB CDG CMN DOH DXB FIH FRA GRU HAV IST JNB LFW LIS LOS MPM NBO OPO TMS WDH"
"NBO","48","ABJ ADD AMS AUH BAH BJM BLZ BOM BRU BSA BZV CAI CAN CDG CSX DAR DOH DXB EBB EDL FRA GGR GOM HGA HRE IST JED JNB JRO JUB KGL KIS LAU LFW LHR LLW LUN MBA MCT MGQ MPM MYD NBJ POL RUH SHJ UKA ZNZ"
"NBS","3","DLC NGB PVG"
"NBX","7","AMQ DJJ EWI KNG MKW TIM UPG"
"NCA","1","PLS"
"NCE","119","AAL AGA AGP AJA ALC ALG AMS ARN ATH ATL AUH BAH BCN BEG BER BES BEY BFS BGO BHX BIA BLL BOD BOS BRI BRS BRU BTS BUD BVE CAG CDG CFR CGN CHQ CMN CPH CZL DJE DOH DSS DUB DUS DXB EIN EVN EWR FCO FRA GCI GDN GOT GVA HAJ HAM HEL IAD IBZ IST JFK JTR KEF KRK KWI LBA LCY LGW LHR LIL LIS LPL LTN LUX LYS MAD MAN MCM MIR MLA MUC MXP OLB ORK ORY OSL OTP PHL PMI PMO PRG RAK RBA RIX RMO RNS RUH SAW SOF SPX STN STR SVG SVQ SXB TBS TFS TIA TLL TLS TLV TRD TRF TUN VCE VIE WAW WRO YUL ZRH"
"NCL","39","ACE ALC AYT BER BFS BGY BJV BOJ CFU CGN CHQ CPH CRL DUB DXB EXT FCO FNC GRO GVA HER IBZ KGS KRK LPA NQY OPO PFO PMI PMO PRG RHO SSH TFS TRN VRN WRO ZAD ZTH"
"NCN","1","MRI"
"NCU","6","ALA IST MOK SCO TAS VKO"
"NDA","2","AHI AMQ"
"NDB","3","LPA NKC OUZ"
"NDC","6","AMD BLR GOX HDO HYD PNQ"
"NDG","11","CAN DLC PEK PKX PVG SHE SJW TAO TFU TNA TSN"
"NDJ","10","ABV ADD CAI CDG CMN DLA IST LFW NIM NSI"
"NDK","1","MAJ"
"NDR","22","AGP ALC AMS ANR BCN BRU BVA CGN DUS EIN FRA LIS MAD MPL OPO ORY PMI PRG RTM SXB TLS TNG"
"NDU","1","ERS"
"NDY","3","KOI NRL SOY"
"NEG","1","MBJ"
"NER","6","DME IKT KHV OVB VKO YKS"
"NEU","2","LPQ VTE"
"NEV","6","AXA DCF SBH SKB STT STX"
"NFO","1","TBU"
"NGB","66","ACX BKK BUD BZX CAN CGO CGQ CKG CSX CTU DLC DXJ GYS HAK HKG HRB HUZ INC JGS JHG KHN KMG KOW KWE LFQ LHW LJG LUM LYG LYI LZO MDC MFM MIG MPH NBS NNG NRT PEK PKX PQC PVG SGN SHE SWA SYX SZX TAO TFU TPE TSN TYN URC VTE WEH WUH XIC XIY XMN XNN YBP YCU YNT YYA ZUH ZYI"
"NGD","1","EIS"
"NGE","2","DLA NSI"
"NGI","1","SUV"
"NGK","2","KHV UUS"
"NGO","51","AKJ AXT BKK CJJ CTS DLC DMK FOC FUK GMP GUM HAN HEL HGH HKD HKG HND HNL ICN ISG IZO KCZ KHH KIJ KMI KOJ LHW MMY MNL MYJ NGS NKG NRT OBO OIT OKA OKD PEK PKX PUS PVG RMQ SDJ SGN SIN TAO TPE TSN XIY YCU YNT"
"NGQ","6","KHG LXA QSZ URC XIY XNN"
"NGS","10","FUJ HND ICN IKI ITM KIX NGO NRT TSJ UKB"
"NHV","4","AUQ PPT UAH UAP"
"NIB","1","MCG"
"NIM","15","ABJ ADD ALG BKO CDG CMN COO DSS GAQ IST LFW MJI NDJ OUA TUN"
"NIQ","1","UMD"
"NJC","24","AER CEK CSY GYD HMA KJA KZN LED MCX MRV NMA NYA OMS OSS OVB PEE SVO SVX TAS TJM TOF UFA UUA VKO"
"NJF","30","ADU AMD AMM AZD BAH BEY BGW BOM CPH DMM DOH DXB EBL IFN IKA ISB IST ISU KBL KER KHI KIH KWI MCT MHD RAS SHJ SRY SYZ TBZ"
"NKC","13","ALG BJL BKO CDG CKY CMN DSS EMN IST LFW LPA NDB TUN"
"NKG","110","AOG BAV BFJ BHY BKK BPE BSD BZX CAN CGK CGO CGQ CIF CJU CKG CQW CSX CTU CXR DAT DLC DLU DMK DNH DSN DYG DZH ENH ENY FOC GYS HAK HCZ HDG HET HJJ HKG HKT HNY HRB HUZ HZG ICN INC JGN JHG JJN JMU KIX KMG KOW KUL KWE KWL LCX LFQ LHW LJG LLV LPF LUM LXA LZH LZO MDC MEL MFM MIG MPH MXP NGO NNG NNY NRT PEK PKX PVG RMQ SGN SHE SIN SWA SYD SYX SZX TAO TFU TPE TYN UKB URC UYN WDS WEH WMT WXN XFN XIC XIY XMN XNN YBP YCU YIN YKH YNJ YNT ZHA ZUH ZYI"
"NKM","9","AOJ FUK GAJ HNA IZO KCZ KIJ KMJ OKD"
"NKT","3","ESB IST SAW"
"NLA","8","ADD DAR JNB LUN MNS MUB NBO WDH"
"NLD","2","MEX NLU"
"NLF","3","HID MYI OKR"
"NLG","2","CDB PML"
"NLI","1","KHV"
"NLK","2","BNE SYD"
"NLT","1","URC"
"NLU","41","ACA AGU BOG CCS CJS CLQ CPE CTG CTM CUL CUN CVM DGO GDL IZT LAP MID MLM MTY MZT NLD OAX PQM PUJ PVR PXM REX SDQ SJD SLP SLW TAM TGZ TIJ TPQ TQO TRC UPN VER VSA ZIH"
"NMA","17","AER DEL DME DXB IKT IST JED KRR KWI LED MCX OVB PEE SVX TAS VKO ZIA"
"NME","1","BET"
"NMF","3","HAQ IFU MLE"
"NMI","22","AGR BDQ BHO BLR CJB CNN DEL GOX HSR IXB IXC IXE IXM LKO NAG PAT RPR SXR TIR TRV VNS VTZ"
"NNB","1","HIR"
"NNG","65","BKK BWN CGO CGQ CKG CSX CTU CZX DLC FOC FUG HAK HET HFE HGH HRB HSN HYN INC JHG JJN JNG JUZ KHN KMG KOW KTI KUL LHW LJG LXA LYA MFM MIG NAO NGB NKG PEK PKX PVG SHA SHE SHS SIN SJW SYX TAO TFU TNA TSN TYN URC UYN VTE WDS WNZ WUH WUX XFN XIY XMN XNN XUZ YCU YTY"
"NNL","2","ILI PTA"
"NNM","14","AER ARH HMA IAR KVX KZN LED MCX PEE SCW SVX UFA VKO ZIA"
"NNT","1","DMK"
"NNX","0",""
"NNY","17","CAN HAK HGH HRB KHN KMG NKG NNG PVG SWA SYX SZX TAO TSN URC XIY ZUH"
"NOB","2","LIR SJO"
"NOC","13","AGP ALC BGY BHX BRS CGN EMA FAO GRO GRQ LHR LPL PMI"
"NOJ","11","AER DME KJA KZN OMS OVB SLY SVX UFA UUA VKO"
"NON","1","TPQ"
"NOP","2","IST SAW"
"NOS","9","ADD DIE DZA FCO JNB MXP POZ RUN TNR"
"NOU","12","AKL BKK BNE ILP LIF MEE NAN PPT SIN SYD UVE VLI"
"NOV","5","CBT LAD SDD SPP VPE"
"NOZ","11","AER DME HKT HTA IKT KJA KZN LED OVB SVO UUD"
"NPE","8","AKL CHC GIS HLZ TRG WHK WIR WLG"
"NPL","3","AKL CHC WLG"
"NPY","4","DAR MWZ TBO TKQ"
"NQN","10","AEP BHI COR CRD LGS MDZ PMY ROS SCL SLA"
"NQU","3","CLO EOH UIB"
"NQY","13","AGP ALC BHD DUB DUS FAO GLA IOM ISC LGW MAN NCL ZRH"
"NQZ","65","AKX ALA AYT BEG BJV BSZ BUS CAN CIT CXR DAD DBB DMB DOH DXB DYU DZN ESB EVN FRA GOI GOX GUW GYD GZP HKT HSA ICN IKU IST KSN KUT KZN KZO LCA LED MLE MRV MSQ OMS OVB PEK PLX PPK PQC PRG SAW SCO SKD SSH SVO SVX SYX TAS TBS TGD UBN UKK URA URC UTP UZR VKO WAW XIY"
"NRE","1","AMQ"
"NRL","4","EOI KOI NDY PPW"
"NRN","22","AGA AGP ALC AOI BRI BZR EDI ESU FAO HER IBZ OUD PSR PUY RBA SKG SVQ TFS TNG TPS ZAD ZAG"
"NRR","3","CPX STT VQS"
"NRT","107","ADD AKJ AKL AMS ASJ AUH BKK BLR BNE BOM BRU BWN CAI CAN CEB CGK CGO CGQ CJJ CJU CKG CNS CRK CSX CTS DAD DEL DFW DLC DMK DOH DPS DXB FOC FUK GUM HAK HAN HEL HGH HIJ HKG HNL HRB IAH ICN ISG IST ITM KHH KIX KMI KOJ KTM KUH KUL LAX MAD MEL MEX MFM MNL MTY MYJ NAN NGB NGS NKG OIT OKA ORD PEK PER PKX POM PPT PUS PVG RMQ SEA SFO SGN SHE SHI SIN SJW SYO SZX TAE TAK TAS TFU TLV TPE TSN UBN VIE WAW WUH XIY XMN YNT YUL YVR YYC YYZ ZRH"
"NSH","2","MHD SYZ"
"NSI","17","ABJ ADD BRU BZV CDG CMN DLA GOU IST JED LBV LFW MED MVR NDJ NGE SSG"
"NSK","20","ABA AER CEK DKS DME GOJ HTG KJA KRR KZN LED MCX MRV OMS OVB PEE SVX THX TJM UFA"
"NSN","8","AKL BHE CHC KTF NZKM PMR PPQ WLG"
"NST","2","BKK DMK"
"NTE","87","ACE AGA AGP AJA ALC ALG AMS ATH AYT BCN BER BIA BRI BRU BSL BUD BVC CDG CFU CHQ CLY CMN CPH CRL CTA DBV DJE DSS DUB EDI ESU FAO FCO FDF FEZ FNC FRA FUE GVA HAM HER HRG IBZ IST JTR LCA LGW LIS LPA LYS MAD MAH MAN MLA MPL MRS MUC NCE OLB OPO ORN ORY OUD PGF PMI PMO PTP RAK RBA RHO SID SPC SPU STN SVQ SXB TFS TGD TIA TLN TLS TNG TUN VCE VLC YQB YUL"
"NTG","32","CAN CGO CGQ CKG CSX DLC FOC HRB JJN KHN KIX KMG KWE LXA MFM NNG PEK PKX SHE SJW SWA SYX SZX TFU TSN TYN UYN WUH XIY XMN YIH ZUH"
"NTI","3","BXB MKW SOQ"
